,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
228,4650,03N,small_airport,Utirik Airport,11.222,169.852005,4.0,OC,MH,MH-UTI,Utirik Island,yes,K03N,UTK,03N,,https://en.wikipedia.org/wiki/Utirik_Airport,
456,6924,07FA,small_airport,Ocean Reef Club Airport,25.325399398804,-80.274803161621,8.0,,US,US-FL,Key Largo,no,07FA,OCA,07FA,https://www.oceanreef.com/community/private-airport-1345.html,https://en.wikipedia.org/wiki/Ocean_Reef_Club_Airport,
618,7063,0AK,small_airport,Pilot Station Airport,61.934601,-162.899994,305.0,,US,US-AK,Pilot Station,yes,,PQS,0AK,,https://en.wikipedia.org/wiki/Pilot_Station_Airport,
697,7139,0CO2,small_airport,Crested Butte Airpark,38.851918,-106.928341,8980.0,,US,US-CO,Crested Butte,no,0CO2,CSE,0CO2,,,Buckhorn Ranch
1120,7545,0TE7,small_airport,LBJ Ranch Airport,30.251800537100003,-98.6224975586,1515.0,,US,US-TX,Johnson City,no,0TE7,JCY,0TE7,,,
1440,7830,13MA,small_airport,Metropolitan Airport,42.2233009338,-72.31140136719999,418.0,,US,US-MA,Palmer,no,13MA,PMX,13MA,,https://en.wikipedia.org/wiki/Metropolitan_Airport,
1479,7866,13Z,seaplane_base,Loring Seaplane Base,55.6012992859,-131.636993408,0.0,,US,US-AK,Loring,no,13Z,WLR,13Z,,,
1600,7977,16A,small_airport,Nunapitchuk Airport,60.905591,-162.440454,12.0,,US,US-AK,Nunapitchuk,yes,PPIT,NUP,16A,,https://en.wikipedia.org/wiki/Nunapitchuk_Airport,
1619,7994,16K,seaplane_base,Port Alice Seaplane Base,55.803,-133.597,0.0,,US,US-AK,Port Alice,no,16K,PTC,16K,,,
1776,8126,19AK,small_airport,Icy Bay Airport,59.966269,-141.660118,50.0,,US,US-AK,Icy Bay,no,19AK,ICY,19AK,,https://en.wikipedia.org/wiki/Icy_Bay_Airport,
1812,8159,19P,seaplane_base,Port Protection Seaplane Base,56.328800201416,-133.61000061035,0.0,,US,US-AK,Port Protection,yes,19P,PPV,19P,,https://en.wikipedia.org/wiki/Port_Protection_Seaplane_Base,
2044,8383,1KC,small_airport,Kalakaket Creek AS Airport,64.4166256967,-156.820392609,1598.0,,US,US-AK,Kalakaket Creek,no,1KC,KKK,1KC,,,
2232,8566,1O6,small_airport,Dunsmuir Muni-Mott Airport,41.263199,-122.272003,3258.0,,US,US-CA,Dunsmuir,no,KMHS,MHS,1O6,,https://en.wikipedia.org/wiki/Dunsmuir_Municipal-Mott_Airport,
2426,8753,1XA2,small_airport,Chase Field Industrial Airport,28.362444,-97.661917,190.0,,US,US-TX,Beeville,no,,NIR,TX2,,https://en.wikipedia.org/wiki/Chase_Field_Industrial_Complex,"1XA2, Naval Air Station Chase Field, Beeville Municipal Airport"
2447,8774,1Z1,small_airport,Grand Canyon Bar Ten Airstrip,36.258614,-113.231159,4100.0,,US,US-AZ,Littlefield,no,,GCT,1Z1,,https://en.wikipedia.org/wiki/Grand_Canyon_Bar_10_Airport,Webbs Ranch
2448,8775,1Z9,seaplane_base,Ellamar Seaplane Base,60.893818,-146.704038,0.0,,US,US-AK,Ellamar,no,,ELW,1Z9,,,
3052,9287,2AK,small_airport,Lime Village Airport,61.3591003418,-155.440002441,552.0,,US,US-AK,Lime Village,no,2AK,LVD,2AK,,,23AK
3059,9294,2AK6,small_airport,Hog River Airport,66.2161026,-155.6690063,534.0,,US,US-AK,Hogatza,no,2AK6,HGZ,2AK6,,,
3229,20770,2IG4,small_airport,Ed-Air Airport,38.851398468,-87.4997024536,426.0,,US,US-IN,Oaktown,no,I20,OTN,I20,http://www.edairinc.com/index.html,https://en.wikipedia.org/wiki/Ed-Air_Airport,"Formerly KOTN, Formerly OTN, 2IG4"
3281,9485,2K5,small_airport,Telida Airport,63.393901824951,-153.26899719238,650.0,,US,US-AK,Telida,no,2K5,TLF,2K5,,https://en.wikipedia.org/wiki/Telida_Airport,
3599,9776,2TE0,small_airport,Eagle Air Park,28.982200622559,-95.579696655273,15.0,,US,US-TX,Brazoria,no,2TE0,BZT,2TE0,,,Hinkles Ferry
3736,9902,2Z1,seaplane_base,Entrance Island Seaplane Base,57.412201,-133.43848,0.0,,US,US-AK,Entrance Island,no,,HBH,,,,2Z1
3740,9906,2Z6,seaplane_base,False Island Seaplane Base,57.5321998596,-135.212997437,,,US,US-AK,False Island,no,2Z6,FAK,2Z6,,,
4201,10309,38WA,small_airport,Blakely Island Airport,48.578998565700005,-122.825996399,66.0,,US,US-WA,Blakely Island,no,38WA,BYW,38WA,,,
4266,10366,3AK5,small_airport,Drift River Airport,60.5889015198,-152.162002563,30.0,,US,US-AK,Kenai,no,3AK5,DRF,3AK5,,,
4446,10532,3IS8,small_airport,Rinkenberger Restricted Landing Area,41.2308998108,-89.61569976810001,808.0,,US,US-IL,Bradford,no,3IS8,BDF,3IS8,,,
4800,10856,3VS,small_airport,Roy Otten Memorial Airfield,38.427799224854,-92.875198364258,1030.0,,US,US-MO,Versailles,no,3VS,VRS,3VS,,,
4860,10905,3Z8,seaplane_base,Golden Horn Lodge Seaplane Base,59.7470016479,-158.875,91.0,,US,US-AK,Golden Horn Lodge,no,3Z8,GDH,3Z8,,,
5361,11318,4A2,small_airport,Atmautluak Airport,60.866699,-162.272996,17.0,,US,US-AK,Atmautluak,yes,,ATT,4A2,,https://en.wikipedia.org/wiki/Atmautluak_Airport,08AK
5364,11320,4AK,small_airport,Livengood Camp Airport,65.467,-148.6534,425.0,,US,US-AK,Livengood,no,4AK,LIV,4AK,,,
5537,11485,4K0,small_airport,Pedro Bay Airport,59.7896003723,-154.12399292,45.0,,US,US-AK,Pedro Bay,no,4K0,PDB,4K0,,,
5538,11487,4K5,small_airport,Ouzinkie Airport,57.925362,-152.496715,55.0,,US,US-AK,Ouzinkie,yes,,KOZ,4K5,,https://en.wikipedia.org/wiki/Ouzinkie_Airport,
5539,11488,4KA,small_airport,Tununak Airport,60.575500488281,-165.27200317383,14.0,,US,US-AK,Tununak,no,4KA,TNK,4KA,,https://en.wikipedia.org/wiki/Tununak_Airport,
5799,11728,4TE8,closed,Ben Bruce Memorial Airpark,30.324581,-94.075413,44.0,,US,US-TX,Evadale,no,4TE8,EVA,4TE8,,,
5901,11820,4Z7,seaplane_base,Hyder Seaplane Base,55.903324,-130.009975,,,US,US-AK,Hyder,yes,,WHD,4Z7,,https://en.wikipedia.org/wiki/Hyder_Seaplane_Base,
6003,11900,51Z,small_airport,Minto Al Wright Airport,65.1437,-149.369995,460.0,,US,US-AK,Minto,no,,MNT,51Z,,https://en.wikipedia.org/wiki/Minto_Airport,
6243,12114,57A,seaplane_base,Tokeen Seaplane Base,55.9370994568,-133.32699585,,,US,US-AK,Tokeen,no,57A,TKI,57A,,https://en.wikipedia.org/wiki/Tokeen_Seaplane_Base,
6387,12243,5A8,medium_airport,Aleknagik / New Airport,59.2826004028,-158.617996216,66.0,,US,US-AK,Aleknagik,yes,5A8,WKK,5A8,,https://en.wikipedia.org/wiki/Aleknagik_Airport,
6582,12429,5KE,seaplane_base,Ketchikan Harbor Seaplane Base,55.349899,-131.677002,,,US,US-AK,Ketchikan,yes,,WFB,5KE,,https://en.wikipedia.org/wiki/Ketchikan_Harbor_Seaplane_Base,
6726,12560,5NK,small_airport,Naknek Airport,58.735633,-157.02216,70.0,,US,US-AK,Naknek,no,,NNK,5NK,,https://en.wikipedia.org/wiki/Naknek_Airport,
6938,12764,5Z9,seaplane_base,Lake Brooks Seaplane Base,58.554798126221,-155.77699279785,36.0,,US,US-AK,Katmai National Park,no,5Z9,BKF,5Z9,,https://en.wikipedia.org/wiki/Lake_Brooks_Seaplane_Base,
7205,12995,65LA,small_airport,Southern Seaplane Airport,29.866078,-90.021608,,,US,US-LA,Belle Chasse,no,65LA,BCS,65LA,http://southernseaplane.com/cms/?page_id=460,https://en.wikipedia.org/wiki/Southern_Seaplane_Airport,
7454,13208,6CA3,heliport,Catalina Air-Sea Terminal Heliport,33.7491989136,-118.275001526,5.0,,US,US-CA,San Pedro,no,6CA3,SPQ,6CA3,,,
7667,13405,6N5,heliport,East 34th Street Heliport,40.74259948730469,-73.97209930419922,10.0,,US,US-NY,New York,yes,6N5,TSS,6N5,,,
7669,13407,6N7,seaplane_base,New York Skyports Inc Seaplane Base,40.735061,-73.972814,,,US,US-NY,New York,yes,,QNY,6N7,,https://en.wikipedia.org/wiki/New_York_Skyports_Inc._Seaplane_Base,
7750,13485,6OK6,small_airport,Earl Henry Airport,36.7958984375,-97.3170013428,1054.0,,US,US-OK,Blackwell,no,6OK6,BWL,6OK6,,https://en.wikipedia.org/wiki/Earl_Henry_Airport,
8293,13974,78K,seaplane_base,Yes Bay Lodge Seaplane Base,55.9163017273,-131.800994873,,,US,US-AK,Yes Bay,no,78K,WYB,78K,,,
